id.kinrich	kinase.group	kinase.family	kinase.subfamily	branch.col	node.col	node.radius	text.size
FLT3	TK	PDGFR		#FFD200	#FFD200	13	4.05
FLT4	TK	VEGFR		#FFD200	#FFD200	13	4.05
FMS	TK	PDGFR		#FFD200	#FFD200	13	4.05
FRK	TK	Src		#FFD200	#FFD200	13	4.05
FYN	TK	Src		#FFD200	#FFD200	13	4.05
HCK	TK	Src		#FFD200	#FFD200	13	4.05
IGF1R	TK	InsR		#FFD200	#FFD200	13	4.05
INSR	TK	InsR		#FFD200	#FFD200	13	4.05
IRR	TK	InsR		#FFD200	#FFD200	13	4.05
ITK	TK	Tec		#FFD200	#FFD200	13	4.05
JAK1	TK	Jak		#FFD200	#FFD200	13	4.05
JAK1_b	TK	JakB		#FFD200	#FFD200	13	4.05
JAK2	TK	Jak		#FFD200	#FFD200	13	4.05
JAK2_b	TK	JakB		#FFD200	#FFD200	13	4.05
JAK3	TK	Jak		#FFD200	#FFD200	13	4.05
JAK3_b	TK	JakB		#FFD200	#FFD200	13	4.05
KDR	TK	VEGFR		#FFD200	#FFD200	13	4.05
KIT	TK	PDGFR		#FFD200	#FFD200	13	4.05
LCK	TK	Src		#FFD200	#FFD200	13	4.05
LMR1	TK	Lmr		#FFD200	#FFD200	13	4.05
LMR2	TK	Lmr		#FFD200	#FFD200	13	4.05
LMR3	TK	Lmr		#FFD200	#FFD200	13	4.05
LTK	TK	ALK		#FFD200	#FFD200	13	4.05
LYN	TK	Src		#FFD200	#FFD200	13	4.05
MER	TK	Axl		#FFD200	#FFD200	13	4.05
MET	TK	Met		#FFD200	#FFD200	13	4.05
MUSK	TK	Musk		#FFD200	#FFD200	13	4.05
PDGFRa	TK	PDGFR		#FFD200	#FFD200	13	4.05
PDGFRb	TK	PDGFR		#FFD200	#FFD200	13	4.05
PYK2	TK	FAK		#FFD200	#FFD200	13	4.05
RET	TK	Ret		#FFD200	#FFD200	13	4.05
RON	TK	Met		#FFD200	#FFD200	13	4.05
ROR1	TK	Ror		#FFD200	#FFD200	13	4.05
ROR2	TK	Ror		#FFD200	#FFD200	13	4.05
ROS	TK	Sev		#FFD200	#FFD200	13	4.05
RYK	TK	Ryk		#FFD200	#FFD200	13	4.05
SRC	TK	Src		#FFD200	#FFD200	13	4.05
SRM	TK	Src		#FFD200	#FFD200	13	4.05
SuRTK106	TK	TK-Unique		#FFD200	#FFD200	13	4.05
SYK	TK	Syk		#FFD200	#FFD200	13	4.05
TEC	TK	Tec		#FFD200	#FFD200	13	4.05
TIE1	TK	Tie		#FFD200	#FFD200	13	4.05
TIE2	TK	Tie		#FFD200	#FFD200	13	4.05
TNK1	TK	Ack		#FFD200	#FFD200	13	4.05
TRKA	TK	Trk		#FFD200	#FFD200	13	4.05
TRKB	TK	Trk		#FFD200	#FFD200	13	4.05
TRKC	TK	Trk		#FFD200	#FFD200	13	4.05
TXK	TK	Tec		#FFD200	#FFD200	13	4.05
TYK2	TK	Jak		#FFD200	#FFD200	13	4.05
TYK2_b	TK	JakB		#FFD200	#FFD200	13	4.05
TYRO3	TK	Axl		#FFD200	#FFD200	13	4.05
YES	TK	Src		#FFD200	#FFD200	13	4.05
ZAP70	TK	Syk		#FFD200	#FFD200	13	4.05
ACTR2	TKL	STKR	STKR2	#FFB200	#FFB200	13	4.05
ACTR2B	TKL	STKR	STKR2	#FFB200	#FFB200	13	4.05
ALK1	TKL	STKR	STKR1	#FFB200	#FFB200	13	4.05
ALK2	TKL	STKR	STKR1	#FFB200	#FFB200	13	4.05
ALK4	TKL	STKR	STKR1	#FFB200	#FFB200	13	4.05
ALK7	TKL	STKR	STKR1	#FFB200	#FFB200	13	4.05
ANKRD3	TKL	RIPK		#FFB200	#FFB200	13	4.05
ARAF	TKL	RAF		#FFB200	#FFB200	13	4.05
BMPR1A	TKL	STKR	STKR1	#FFB200	#FFB200	13	4.05
BMPR1B	TKL	STKR	STKR1	#FFB200	#FFB200	13	4.05
BMPR2	TKL	STKR	STKR2	#FFB200	#FFB200	13	4.05
BRAF	TKL	RAF		#FFB200	#FFB200	13	4.05
DLK	TKL	MLK	LZK	#FFB200	#FFB200	13	4.05
HH498	TKL	MLK	HH498	#FFB200	#FFB200	13	4.05
ILK	TKL	MLK	ILK	#FFB200	#FFB200	13	4.05
IRAK1	TKL	IRAK		#FFB200	#FFB200	13	4.05
IRAK2	TKL	IRAK		#FFB200	#FFB200	13	4.05
IRAK3	TKL	IRAK		#FFB200	#FFB200	13	4.05
IRAK4	TKL	IRAK		#FFB200	#FFB200	13	4.05
KSR1	TKL	RAF	KSR	#FFB200	#FFB200	13	4.05
KSR2	TKL	RAF		#FFB200	#FFB200	13	4.05
LIMK1	TKL	LISK	LIMK	#FFB200	#FFB200	13	4.05
LIMK2	TKL	LISK	LIMK	#FFB200	#FFB200	13	4.05
LRRK1	TKL	LRRK		#FFB200	#FFB200	13	4.05
LRRK2	TKL	LRRK		#FFB200	#FFB200	13	4.05
LZK	TKL	MLK	LZK	#FFB200	#FFB200	13	4.05
MISR2	TKL	STKR	STKR2	#FFB200	#FFB200	13	4.05
MLK1	TKL	MLK	MLK	#FFB200	#FFB200	13	4.05
MLK2	TKL	MLK	MLK	#FFB200	#FFB200	13	4.05
MLK3	TKL	MLK	MLK	#FFB200	#FFB200	13	4.05
MLK4	TKL	MLK	MLK	#FFB200	#FFB200	13	4.05
MLKL	TKL	TKL-Unique		#FFB200	#FFB200	13	4.05
RAF1	TKL	RAF		#FFB200	#FFB200	13	4.05
RIPK1	TKL	RIPK		#FFB200	#FFB200	13	4.05
RIPK2	TKL	RIPK		#FFB200	#FFB200	13	4.05
RIPK3	TKL	RIPK		#FFB200	#FFB200	13	4.05
SgK288	TKL	RIPK		#FFB200	#FFB200	13	4.05
TAK1	TKL	MLK	TAK1	#FFB200	#FFB200	13	4.05
TESK1	TKL	LISK	TESK	#FFB200	#FFB200	13	4.05
TESK2	TKL	LISK	TESK	#FFB200	#FFB200	13	4.05
TGFbR1	TKL	STKR	STKR1	#FFB200	#FFB200	13	4.05
TGFbR2	TKL	STKR	STKR2	#FFB200	#FFB200	13	4.05
ZAK	TKL	MLK	ZAK	#FFB200	#FFB200	13	4.05
